id;start_date;end_date;language
1;2024-03-09T07:40:33;2024-03-09T04:03:53;ENGLISH
2;2024-03-08T23:52:17;2024-03-09T04:38:38;SPANISH
3;2024-03-09T10:03:10;2024-03-09T07:07:48;ENGLISH
4;2024-03-09T06:38:16;2024-03-09T02:50:03;SPANISH
5;2024-03-08T17:26:22;2024-03-08T20:48:53;FRENCH
6;2024-03-09T05:19:00;2024-03-08T20:48:41;ENGLISH
7;2024-03-08T18:52:10;2024-03-09T03:58:21;FRENCH
8;2024-03-08T11:52:02;2024-03-08T16:12:33;SPANISH
9;2024-03-09T06:01:45;2024-03-08T15:58:18;SPANISH
10;2024-03-08T11:27:36;2024-03-09T03:35:21;ENGLISH
