id;street_address;postal_code;city;state_province
1;hmph abaft uh-huh;readily informal;South Zoeyhaven;monstrous
2;who;gender upon stravage;North Bethesda;latch
3;plan;ha counselor yieldingly;Sporerport;inasmuch stupendous
4;separately consequently while;incidentally;Fort Evans;separate pleased
5;grouchy whether;over extrapolate;Madisoncester;bashfully famously
6;whose;underneath starchy;Lake Madiechester;install exchange
7;joyously qua;mmm supposing ugh;Waelchiworth;but
8;beyond lamb stream;righteously audit octet;Weston;amazon
9;wide-eyed hollow helplessly;flounder excluding;Tigard;dragoon
10;clump of stag;pish important goodie;Rialto;rope
